Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Heritage of Alluria,9.6,Dilijan,"38,000",Not Included,Deluxe Double Room,Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Kechi house tsaghkadzor,9,Tsaghkadzor,"18,000",Not Included,One-Bedroom Apartment,Balcony | Garden,Doesn't have,Ski-to-door access | Ski pass vendor | Ski equipment hire on site | Ski school | Ski storage | Skiing,Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Holiday House in Yerevan with Garden and Lovely Views,,Yerevan,"17,670",Not Included,Deluxe Double Room with Balcony,Balcony,Doesn't have,Hiking,Doesn't have,No internet access available.,,German | English | Armenian | Italian | Russian,Doesn't have,Doesn't have,Doesn't have
Uparthotel,,Tsaghkadzor,"36,000",Not Included,Apartment with Terrace,Balcony,Doesn't have,Skiing,Doesn't have,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Toneh Guest House and Gastro-yard,,Lernarot,"10,000",Included,Double or Twin Room,Outdoor dining area | Barbecue | Private pool | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Russian,,Doesn't have,Doesn't have
Tsaghkazdor luxury apartment,,Tsaghkadzor,"41,500",Not Included,One-Bedroom Apartment,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,German | English | French | Russian | Chinese,Doesn't have,Doesn't have,Doesn't have
Apartment In Yerevan On Argishti 11 street,,Yerevan,"18,000",Not Included,One-Bedroom Apartment,Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,German | English | French | Russian | Chinese,Doesn't have,Doesn't have,Doesn't have
Cascade Guest House,8.8,Sevan,"12,000",Not Included,Double Room,BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Hiking (Off-site),Doesn't have,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Stay Inn Apartments on Aram street,8.9,Yerevan,"26,450",Not Included,Superior Apartment,Garden,Doesn't have,Doesn't have,Coffee house on site | Wine/champagne (Additional charge) | Packed lunches | Breakfast in the room | Room service | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
"Ideally Designed 2 Bedrooms Large apartment,3 Baths, View to Malibu Garden",1,Yerevan,"75,000",Not Included,Two-Bedroom Apartment,Doesn't have,Doesn't have,Walking tours (Additional charge),Kid-friendly buffet | Bar | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Stay Inn Apartments on Argishti 11,9.8,Yerevan,"24,150",Not Included,Apartment,Private pool,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Armenian | Russian,,Doesn't have,Doesn't have
Stay Inn Apartments on Khorenatsi 25,8.5,Yerevan,"24,150",Not Included,Two-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
One bedroom cozy apartment in mountains,,Tsaghkadzor,"21,600",Not Included,One-Bedroom Apartment,Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
Hayots Ojakh,9.5,Sevan,"16,000",Included,Large Double Room,Balcony,Doesn't have,"Tour or class about local culture (Additional charge) | Water park (Off-site, Additional charge) | Bowling (Off-site, Additional charge) | Hiking (Off-site, Additional charge) | Tennis court (Off-site, Additional charge)",Grocery deliveries (Additional charge),WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hyuratun,9.3,Vanadzor,"15,000",Not Included,Deluxe Double Room,Outdoor fireplace | Outdoor furniture | Outdoor dining area | Outdoor furniture | BBQ facilities | Patio | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Уютная квартира в центре города,,Gyumri,"14,000",Not Included,Two-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,Street parking,Arabic | English | French | Hebrew | Armenian | Italian | Russian | Turkish,Doesn't have,Doesn't have,Doesn't have
Афродита,,Stepʼanavan,"28,000",Not Included,One-Bedroom Apartment,Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Tsovella House,8.8,Jermuk,"17,000",Not Included,Apartment with Balcony,Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
ZariTap Villa,,Zarritʼapʼ,"30,000",Not Included,Three-Bedroom House,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Aratta,9,Gyumri,"25,000",Not Included,Single Room - Disability Access,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Villa De France,9.6,Yerevan,"25,000",Not Included,Double Room,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Sevan Comfortable Cottages by SeaSide,7.5,Sevan,"32,000",Not Included,Two-Bedroom House,Terrace,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Дом в аренду - Kharberd House, долгосрочная и краткосрочная аренда",,Yerevan,"12,000",Not Included,One-Bedroom Apartment,Balcony | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Garun Hotel,8.6,Gyumri,"15,000",Not Included,Single Room,Outdoor dining area | Balcony | Terrace,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Kond Apart House,,Yerevan,"20,000",Not Included,Studio Apartment,Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,WiFi is available in public areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Сдается в аренду полноценная 2-х комнатная , все удобства, квартира",,Yerevan,"18,000",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Уютный дом,,Dilijan,"8,000",Not Included,Two-Bedroom House,Terrace | Balcony,Doesn't have,Hiking (Off-site),Grocery deliveries | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Communa Guesthouse,9.7,Gyumri,"23,500",Not Included,Double or Twin Room with Balcony,BBQ facilities | Balcony | Garden,Doesn't have,Ski pass vendor | Ski equipment hire on site | Ski school | Hiking (Off-site) | Skiing (Off-site),Grocery deliveries,WiFi is available in all areas and is free of charge.,,English | Spanish | French | Russian,Doesn't have,Doesn't have,Doesn't have
Nor Partez,,Yerevan,"25,200",Not Included,Large Double Room,Outdoor furniture | Terrace,Doesn't have,"Live sport events (broadcast) (Additional charge) | Live music/performance (Additional charge) | Tour or class about local culture (Additional charge) | Happy hour | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights (Off-site, Additional charge) | Stand-up comedy (Additional charge) | Pub crawls (Additional charge) | Temporary art galleries (Additional charge) | Evening entertainment (Additional charge)",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking,Arabic | English | Spanish | Farsi | French | Armenian | Russian,"Fitness/spa locker rooms | Personal trainer | Fitness classes | Yoga classes | Fitness | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Couples massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Spa/wellness packages | Foot bath | Spa lounge/relaxation area | Steam room | Spa facilities | Light therapy | Body wrap | Body scrub | Body treatments | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Make up services | Facial treatments | Beauty Services | Sun loungers or beach chairs | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Fitness centre

(Temporarily closed) | Sauna",Doesn't have,Doesn't have
Orsetto,7,Sevan,"50,000",Included,Double Room,Beachfront | Private beach area | Balcony | Terrace,Doesn't have,Tour or class about local culture (Additional charge) | Beach,Bar | Restaurant,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Cozy and quiet home.,,Yerevan,"27,000",Not Included,One-Bedroom House,Doesn't have,Doesn't have,Doesn't have,Coffee house on site | Grocery deliveries (Additional charge) | Breakfast in the room | Room service | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
2 Bedrooms apartment in Small Center Abovyan 26,,Yerevan,"38,000",Not Included,Two-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Апартамент 16,,Yerevan,"37,000",Not Included,One-Bedroom Apartment,Private pool | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,,Doesn't have,Doesn't have
Luxary apartment near opera & Cascade!,9.2,Yerevan,"32,000",Not Included,Apartment,Barbecue | Balcony,Doesn't have,"Ski storage | Hiking (Off-site) | Skiing (Off-site) | Fishing (Off-site, Additional charge)",Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Cozy apartment near to the Metro H Kochar 19,9.6,Yerevan,"28,000",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor dining area | Sun terrace | Barbecue | BBQ facilities | Patio | Balcony | Terrace | Garden,Doesn't have,Hiking (Off-site),Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Carlos Castaneda - Шикарная вилла в Севане,7.2,Sevan,"54,000",Not Included,Two-Bedroom Villa,Doesn't have,Doesn't have,"Happy hour | Movie nights (Off-site, Additional charge) | Pub crawls (Additional charge)",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Snack bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Сomfortable room in a large flat in the centre for a woman or two women ,not for a man",1,Yerevan,"22,310",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Sun terrace | Private pool | BBQ facilities | Terrace | Garden,Doesn't have,Doesn't have,Coffee house on site,WiFi is available in all areas and is free of charge.,,French | Armenian | Russian,Sun loungers or beach chairs,Doesn't have,Doesn't have
IT Hostel,,Yerevan,"8,500",Not Included,Single Bed in Female Dormitory Room,Beachfront | Balcony | Terrace,Doesn't have,Beach,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Pottery House,8.8,Alaverdi,"6,000",Not Included,Economy Quadruple Room,Private pool | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Квартира,,Yerevan,"20,000",Not Included,One-Bedroom Apartment,Terrace | Garden,Doesn't have,Doesn't have,Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Sahakyan guest house,,Yeghvard,"00,800",Not Included,One-Bedroom Villa,Terrace,Doesn't have,Doesn't have,Doesn't have,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
ArmavirHouses,,Armavir,"12,800",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Erazank Hotel,7.5,Gyumri,"10,000",Not Included,Triple Room,Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Vagarshyan 19 k.29,9.7,Yerevan,"30,000",Not Included,One-Bedroom Apartment,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Apartment,,Yerevan,"23,600",Not Included,One-Bedroom Apartment,Terrace | Garden,Doesn't have,Doesn't have,Restaurant,No internet access available.,,Russian,,Doesn't have,Doesn't have
Mimino Guesthouse,9.3,Dilijan,"20,000",Included,Standard Double Room,Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Northern Avenue, 1 bedroom Modern, Renovated apartment HH999",,Yerevan,"29,000",Not Included,One-Bedroom Apartment,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Dilijan Villa 12,8.2,Dilijan,"40,000",Not Included,Two-Bedroom Villa,Terrace | Garden,Doesn't have,Doesn't have,Restaurant,No internet access available.,,Russian,,Doesn't have,Doesn't have
Gugark Retreat,9,Vahagnadzor,"12,000",Included,Triple Room,Beachfront | Outdoor dining area | Private beach area | Barbecue | Patio | Balcony | Terrace | Garden,Doesn't have,Beach,Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
DAN Resort,9.3,Dilijan,"40,000",Included,Budget Twin Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
V$H guesthouse,5,Garni,"38,000",Not Included,Large Double Room,Balcony,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Stay Inn-Apartments on Koghbatsi 16,9.9,Yerevan,"28,750",Not Included,Apartment with Balcony,Balcony,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Modern apartment in the heart of Gyumri,9,Gyumri,"20,000",Not Included,Deluxe Apartment,Outdoor dining area | Balcony,Doesn't have,Doesn't have,Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Tumanyan street Next To Opera , LUXE STUDIO",,Yerevan,"43,200",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Hiking (Off-site),Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,German | English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Apartment In center On Buzand street,,Yerevan,"20,000",Not Included,One-Bedroom Apartment,Outdoor furniture | Outdoor dining area | Sun terrace | BBQ facilities | Balcony | Terrace,Doesn't have,Doesn't have,Grocery deliveries | Room service | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Emili Rest House,9.1,Dilijan,"41,310",Not Included,Three-Bedroom House,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Aren House,,Sevan,"15,300",Not Included,Two-Bedroom House,Picnic area | Outdoor dining area | BBQ facilities | Terrace | Garden,Doesn't have,Live sport events (broadcast) (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Stand-up comedy (Additional charge) | Evening entertainment (Additional charge) | Nightclub/DJ (Additional charge),Coffee house on site | Bar | Minibar,No internet access available.,,English | Armenian | Russian,Full body massage | Hand massage | Head massage | Couples massage | Foot massage | Neck massage | Back massage | Public Bath (Additional charge) | Open-air bath (Additional charge) | Massage | Sauna (Additional charge),Doesn't have,Doesn't have
Sevan Best Apartament,,Lchashen,"40,500",Not Included,Three-Bedroom Villa,Picnic area | Outdoor dining area | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,"Tour or class about local culture | Happy hour (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Fitness/spa locker rooms | Spa lounge/relaxation area | Badminton equipment | Evening entertainment (Additional charge) | Horse riding (Off-site, Additional charge) | Hiking (Off-site, Additional charge) | Canoeing (Off-site, Additional charge) | Fishing (Off-site, Additional charge)",Fruits | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Luxury Apt In Yerevan with French Balcony,,Yerevan,"33,000",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Dili House,5,Dilijan,"18,400",Not Included,One-Bedroom House,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
DARBAS GUEST HOUSE,,Gyumri,"11,700",Not Included,Deluxe King Room,Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,,Doesn't have,Doesn't have
Comfortable Apartment in Yerevan,3.3,Yerevan,"20,000",Not Included,One-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Holiday home Golovino,8.7,Dilijan,"34,000",Not Included,Two-Bedroom Townhouse,Picnic area | Beachfront | Sun terrace | Private beach area | BBQ facilities | Terrace | Garden,Doesn't have,"Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Beach | Hiking (Off-site, Additional charge) | Karaoke",Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Russian,Steam room | Sun umbrellas | Sun loungers or beach chairs | Sauna (Additional charge),Doesn't have,Doesn't have
"Гостевой дом в Гюлагараке, Дендропарк",,Gyulagarak,"12,600",Not Included,Four-Bedroom House,Balcony,Doesn't have,Doesn't have,Grocery deliveries (Additional charge) | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Street parking,German | English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Rent House Bjni,1,Alapʼars,"66,000",Not Included,Two-Bedroom House,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
3-х комнатка в центре Еревана в пятиэтажном на 3-м этаже,,Yerevan,"31,500",Not Included,Two-Bedroom Apartment,Outdoor dining area | Outdoor furniture | Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,Russian,,Doesn't have,Doesn't have
Home,,Yerevan,"14,000",Not Included,One-Bedroom House,Garden,Doesn't have,Hiking,Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Accessible parking | Street parking,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Apartment Narine,9.3,Yerevan,"54,000",Not Included,Three-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
Apartments near Republic square Amiryan 4,,Yerevan,"27,900",Not Included,One-Bedroom Apartment,Garden,Doesn't have,Ski-to-door access | Ski pass vendor | Ski school (Additional charge) | Hiking (Off-site) | Skiing (Off-site) | Tennis court (Off-site),Doesn't have,WiFi is available in all areas and is free of charge.,,German | English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Quit and comfortable apartment,,Yerevan,"32,000",Not Included,Two-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Luxury Apt In Yerevan with French Balcony,,Yerevan,"33,000",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Garden,Doesn't have,"Ski-to-door access | Ski equipment hire on site | Ski school (Additional charge) | Ski storage (Additional charge) | Bowling (Off-site, Additional charge) | Hiking (Off-site) | Table tennis (Additional charge) | Billiards (Additional charge) | Skiing (Off-site) | Tennis court (Off-site, Additional charge)",Bar,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Dili House,5,Dilijan,"18,400",Not Included,One-Bedroom House,Balcony,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,Electric vehicle charging station,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
DARBAS GUEST HOUSE,,Gyumri,"11,700",Not Included,Deluxe King Room,Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
Comfortable Apartment in Yerevan,3.3,Yerevan,"20,000",Not Included,One-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Гостевой дом в Гюлагараке, Дендропарк",,Gyulagarak,"12,600",Not Included,Four-Bedroom House,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities | Terrace | Garden,Doesn't have,Cooking class | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights | Temporary art galleries | Badminton equipment | Horse riding (Off-site) | Hiking | Games room | Fishing,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,German | English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Rent House Bjni,1,Alapʼars,"66,000",Not Included,Two-Bedroom House,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Hiking (Off-site),Bar | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
3-х комнатка в центре Еревана в пятиэтажном на 3-м этаже,,Yerevan,"31,500",Not Included,Two-Bedroom Apartment,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,Electric vehicle charging station,Russian,Doesn't have,Doesn't have,Doesn't have
Home,,Yerevan,"14,000",Not Included,One-Bedroom House,Picnic area | Sun terrace | BBQ facilities | Terrace | Garden,Doesn't have,"Live sport events (broadcast) | Live music/performance | Tour or class about local culture (Additional charge) | Themed dinner nights (Off-site, Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Kids' club | Hiking (Additional charge) | Table tennis | Billiards (Additional charge) | Children's playground | Games room",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Bar | Restaurant | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Fitness/spa locker rooms | Personal trainer | Fitness classes | Fitness | Steam room | Fitness centre | Sauna (Additional charge),Doesn't have,Doesn't have
Apartments near Republic square Amiryan 4,,Yerevan,"27,900",Not Included,One-Bedroom Apartment,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | BBQ facilities | Patio | Terrace,Doesn't have,Hiking,Grocery deliveries (Additional charge) | Special diet menus (on request) | Packed lunches | Breakfast in the room,WiFi is available in public areas and is free of charge.,,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Quit and comfortable apartment,,Yerevan,"32,000",Not Included,Two-Bedroom Apartment,Private pool | Balcony | Terrace,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Russian,,Doesn't have,Doesn't have
Appartment Lux,,Yerevan,"26,000",Not Included,Two-Bedroom Apartment,Outdoor dining area | BBQ facilities (Additional charge) | Terrace,Doesn't have,Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Billiards (Additional charge) | Hot tub,Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Special diet menus (on request) | Breakfast in the room | Bar | Minibar,WiFi is available in public areas and is free of charge.,Parking garage | Secured parking,English | Farsi | Armenian | Russian,Spa/wellness packages | Steam room | Spa facilities | Sun loungers or beach chairs (Additional charge) | Water slide | Open-air bath (Additional charge) | Hammam (Additional charge) | Hot tub/Jacuzzi (Additional charge) | Massage (Additional charge) | Sauna (Additional charge),Doesn't have,Doesn't have
"Alashkert Guesthouse ,Ալաշկերտ Հյուրատուն",9.6,Gyumri,"14,000",Not Included,One-Bedroom Apartment,Outdoor dining area | Outdoor furniture | Barbecue | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Susyhaus,,Dilijan,"16,800",Not Included,One-Bedroom Villa,Balcony | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
"3 room apartment in a new building on Northern Avenue, 106 m2, 2 bathrooms, high ceilings, 7th floor",,Yerevan,"57,867",Not Included,Two-Bedroom Apartment,Outdoor fireplace | Picnic area | Outdoor furniture | Barbecue | BBQ facilities (Additional charge) | Balcony | Terrace | Garden,Doesn't have,Badminton equipment | Tennis equipment (Additional charge) | Table tennis | Children's playground,Special diet menus (on request) | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,Russian,Doesn't have,Doesn't have,Doesn't have
Mariam Apartment,8.8,Dilijan,"25,000",Not Included,Apartment with Balcony,Balcony,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
ARmoon Hotel,9.9,Gyumri,"57,000",Not Included,Two-Bedroom House,BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Hiking | Table tennis | Billiards,Fruits (Additional charge) | Wine/champagne (Additional charge) | Room service,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Street parking | Secured parking,English | Armenian | Russian,Open-air bath,Doesn't have,Doesn't have
Cozy corner,,Yerevan,"31,900",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor furniture | Barbecue | BBQ facilities | Garden,Doesn't have,Hiking | Table tennis | Games room,Restaurant,No internet access available.,Accessible parking | Street parking,English | Armenian | Russian,Sun loungers or beach chairs,Doesn't have,Doesn't have
Spitak tun,7,Ijevan,"30,150",Not Included,Three-Bedroom House,Terrace | Garden,Doesn't have,Doesn't have,Restaurant,WiFi is available in all areas and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
HAYQ HOTEL DILIJAN,8.3,Dilijan,"9,000",Not Included,Single Room,Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
